Question,Answer,Q&A,categories,pre-score,weight,score
SQ2,1,SQ2. 식품 주구입자  1) 집에서 먹는 식품의 대부분을 내가 직접 구입한다,,,,
SQ2,2,SQ2. 식품 주구입자  2) 집에서 먹는 식품의 대부분을 구입하는 가구원이 따로 있다,,,,
A1,1,A1. 가공식품 구입 주기  1) 매일 1회 이상,,,,
A1,2,A1. 가공식품 구입 주기  2) 주 4~6회,,,,
A1,3,A1. 가공식품 구입 주기  3) 주 2~3회,,,,
A1,4,A1. 가공식품 구입 주기  4) 주 1회,,,,
A1,5,A1. 가공식품 구입 주기  5) 2주일에 1회,,,,
A1,6,A1. 가공식품 구입 주기  6) 1달에 1회,,,,
A1,7,A1. 가공식품 구입 주기  7) 그보다 드물게,,,,
A1,8,A1. 가공식품 구입 주기  8) 구입하지 않음,,,,
A2_1,1,A2 .가공식품 구입 시 고려 기준_1순위  1) 가격,['price_sensitivity'],9,1,9
A2_1,2,A2 .가공식품 구입 시 고려 기준_1순위  2) 맛,,,,
A2_1,3,A2 .가공식품 구입 시 고려 기준_1순위  3) 안전성,['health_orientation'],9,1,9
A2_1,4,A2 .가공식품 구입 시 고려 기준_1순위  4) 품질,['premium_orientation'],9,1,9
A2_1,5,A2 .가공식품 구입 시 고려 기준_1순위  5) 영양(건강),['health_orientation'],9,1,9
A2_1,6,"A2 .가공식품 구입 시 고려 기준_1순위  6) 신선도 (제조일자, 소비(유통)기한 포함)",['health_orientation'],9,1,9
A2_1,7,A2 .가공식품 구입 시 고려 기준_1순위  7) 구입의 편리성,['cooking_convenience'],9,1,9
A2_1,8,A2 .가공식품 구입 시 고려 기준_1순위  8) 조리의 편리성,['cooking_convenience'],9,1,9
A2_2,1,A2 .가공식품 구입 시 고려 기준_2순위  1) 가격,['price_sensitivity'],9,0.7,6.3
A2_2,2,A2 .가공식품 구입 시 고려 기준_2순위  2) 맛,,,,
A2_2,3,A2 .가공식품 구입 시 고려 기준_2순위  3) 안전성,['health_orientation'],9,0.7,6.3
A2_2,4,A2 .가공식품 구입 시 고려 기준_2순위  4) 품질,['premium_orientation'],9,0.7,6.3
A2_2,5,A2 .가공식품 구입 시 고려 기준_2순위  5) 영양(건강),['health_orientation'],9,0.7,6.3
A2_2,6,"A2 .가공식품 구입 시 고려 기준_2순위  6) 신선도 (제조일자, 소비(유통)기한 포함)",['health_orientation'],9,0.7,6.3
A2_2,7,A2 .가공식품 구입 시 고려 기준_2순위  7) 구입의 편리성,['cooking_convenience'],9,0.7,6.3
A2_2,8,A2 .가공식품 구입 시 고려 기준_2순위  8) 조리의 편리성,['cooking_convenience'],9,0.7,6.3
A5_1,1,A5-1. 지출액 규모 큰 가공식품 만족도(가격)  1) 매우 불만족 한다,['price_sensitivity'],1,1,1
A5_1,2,A5-1. 지출액 규모 큰 가공식품 만족도(가격)  2) 불만족하는 편이다,['price_sensitivity'],3,1,3
